132|AEADBadTagException|class in javax.crypto|java.base/javax/crypto/AEADBadTagException.html|This exception is thrown when a Cipher operating in an AEAD mode (such as GCM/CCM) is unable to verify the supplied authentication tag.
133|AffineTransform|class in java.awt.geom|java.desktop/java/awt/geom/AffineTransform.html|The AffineTransform class represents a 2D affine transform that performs a linear mapping from 2D coordinates to other 2D coordinates that preserves the "straightness" and "parallelness" of lines.
134|AffineTransformOp|class in java.awt.image|java.desktop/java/awt/image/AffineTransformOp.html|This class uses an affine transform to perform a linear mapping from 2D coordinates in the source image or Raster to 2D coordinates in the destination image or Raster.
135|AgentInitializationException|class in com.sun.tools.attach|jdk.attach/com/sun/tools/attach/AgentInitializationException.html|The exception thrown when an agent fails to initialize in the target Java virtual machine.
136|AgentLoadException|class in com.sun.tools.attach|jdk.attach/com/sun/tools/attach/AgentLoadException.html|The exception thrown when an agent cannot be loaded into the target Java virtual machine.
137|AlgorithmConstraints|interface in java.security|java.base/java/security/AlgorithmConstraints.html|This interface specifies constraints for cryptographic algorithms, keys (key sizes), and other algorithm parameters.
138|AlgorithmMethod|interface in javax.xml.crypto|java.xml.crypto/javax/xml/crypto/AlgorithmMethod.html|An abstract representation of an algorithm defined in the XML Security specifications.
139|AlgorithmParameterGenerator|class in java.security|java.base/java/security/AlgorithmParameterGenerator.html|The AlgorithmParameterGenerator class is used to generate a set of parameters to be used with a certain algorithm.
140|AlgorithmParameterGeneratorSpi|class in java.security|java.base/java/security/AlgorithmParameterGeneratorSpi.html|This class defines the Service Provider Interface (SPI) for the AlgorithmParameterGenerator class, which is used to generate a set of parameters to be used with a certain algorithm.
141|AlgorithmParameters|class in java.security|java.base/java/security/AlgorithmParameters.html|This class is used as an opaque representation of cryptographic parameters.
142|AlgorithmParameterSpec|interface in java.security.spec|java.base/java/security/spec/AlgorithmParameterSpec.html|A (transparent) specification of cryptographic parameters.
143|AlgorithmParametersSpi|class in java.security|java.base/java/security/AlgorithmParametersSpi.html|This class defines the Service Provider Interface (SPI) for the AlgorithmParameters class, which is used to manage algorithm parameters.
144|AllPermission|class in java.security|java.base/java/security/AllPermission.html|The AllPermission is a permission that implies all other permissions.
145|AlphaComposite|class in java.awt|java.desktop/java/awt/AlphaComposite.html|The AlphaComposite class implements basic alpha compositing rules for combining source and destination colors to achieve blending and transparency effects with graphics and images.
146|AlreadyBoundException|class in java.nio.channels|java.base/java/nio/channels/AlreadyBoundException.html|Unchecked exception thrown when an attempt is made to bind the socket a network oriented channel that is already bound.
147|AlreadyBoundException|class in java.rmi|java.rmi/java/rmi/AlreadyBoundException.html|An AlreadyBoundException is thrown if an attempt is made to bind an object to a name that already has an associated binding in the registry.
148|AlreadyConnectedException|class in java.nio.channels|java.base/java/nio/channels/AlreadyConnectedException.html|Unchecked exception thrown when an attempt is made to connect a SocketChannel that is already connected.
149|AncestorEvent|class in javax.swing.event|java.desktop/javax/swing/event/AncestorEvent.html|An event reported to a child component that originated from an ancestor in the component hierarchy.
150|AncestorListener|interface in javax.swing.event|java.desktop/javax/swing/event/AncestorListener.html|AncestorListener Interface to support notification when changes occur to a JComponent or one of its ancestors.
151|AnnotatedArrayType|interface in java.lang.reflect|java.base/java/lang/reflect/AnnotatedArrayType.html|AnnotatedArrayType represents the potentially annotated use of an array type, whose component type may itself represent the annotated use of a type.
152|AnnotatedConstruct|interface in javax.lang.model|java.compiler/javax/lang/model/AnnotatedConstruct.html|Represents a construct that can be annotated.
153|AnnotatedElement|interface in java.lang.reflect|java.base/java/lang/reflect/AnnotatedElement.html|Represents an annotated construct of the program currently running in this VM.
154|AnnotatedParameterizedType|interface in java.lang.reflect|java.base/java/lang/reflect/AnnotatedParameterizedType.html|AnnotatedParameterizedType represents the potentially annotated use of a parameterized type, whose type arguments may themselves represent annotated uses of types.
155|AnnotatedType|interface in java.lang.reflect|java.base/java/lang/reflect/AnnotatedType.html|AnnotatedType represents the potentially annotated use of a type in the program currently running in this VM.
156|AnnotatedTypeTree|interface in com.sun.source.tree|jdk.compiler/com/sun/source/tree/AnnotatedTypeTree.html|A tree node for an annotated type.
157|AnnotatedTypeVariable|interface in java.lang.reflect|java.base/java/lang/reflect/AnnotatedTypeVariable.html|AnnotatedTypeVariable represents the potentially annotated use of a type variable, whose declaration may have bounds which themselves represent annotated uses of types.
158|AnnotatedWildcardType|interface in java.lang.reflect|java.base/java/lang/reflect/AnnotatedWildcardType.html|AnnotatedWildcardType represents the potentially annotated use of a wildcard type argument, whose upper or lower bounds may themselves represent annotated uses of types.
159|Annotation|interface in java.lang.annotation|java.base/java/lang/annotation/Annotation.html|The common interface extended by all annotation interfaces.
160|Annotation|interface in java.lang.classfile|java.base/java/lang/classfile/Annotation.html|Models an annotation structure (JVMS 4.7.16) or part of a type_annotation structure (JVMS 4.7.20).
161|Annotation|class in java.text|java.base/java/text/Annotation.html|An Annotation object is used as a wrapper for a text attribute value if the attribute has annotation characteristics.
162|AnnotationConstantValueEntry|interface in java.lang.classfile.constantpool|java.base/java/lang/classfile/constantpool/AnnotationConstantValueEntry.html|Marker interface for constant pool entries that can represent constant values associated with elements of annotations.
163|AnnotationDefaultAttribute|interface in java.lang.classfile.attribute|java.base/java/lang/classfile/attribute/AnnotationDefaultAttribute.html|Models the AnnotationDefault attribute (JVMS 4.7.22), which records the default value (JLS 9.6.2) for the annotation interface element defined by this method.
164|AnnotationElement|interface in java.lang.classfile|java.base/java/lang/classfile/AnnotationElement.html|Models an element-value pair in the element_value_pairs table in the annotation structure defined in JVMS 4.7.16 or the type_annotation structure defined in JVMS 4.7.20.
165|AnnotationElement|class in jdk.jfr|jdk.jfr/jdk/jfr/AnnotationElement.html|Describes event metadata, such as labels, descriptions and units.
166|AnnotationFormatError|class in java.lang.annotation|java.base/java/lang/annotation/AnnotationFormatError.html|Thrown when the annotation parser attempts to read an annotation from a class file and determines that the annotation is malformed.
167|AnnotationMirror|interface in javax.lang.model.element|java.compiler/javax/lang/model/element/AnnotationMirror.html|Represents an annotation.
168|AnnotationTree|interface in com.sun.source.tree|jdk.compiler/com/sun/source/tree/AnnotationTree.html|A tree node for an annotation.
169|AnnotationTypeMismatchException|class in java.lang.annotation|java.base/java/lang/annotation/AnnotationTypeMismatchException.html|Thrown to indicate that a program has attempted to access an element of an annotation whose type has changed after the annotation was compiled (or serialized).
170|AnnotationValue|interface in java.lang.classfile|java.base/java/lang/classfile/AnnotationValue.html|Models an element_value structure, or a value of an element-value pair of an annotation, as defined in JVMS 4.7.16.1.
171|AnnotationValue|interface in javax.lang.model.element|java.compiler/javax/lang/model/element/AnnotationValue.html|Represents a value of an annotation interface element.
172|AnnotationValue.OfAnnotation|interface in java.lang.classfile|java.base/java/lang/classfile/AnnotationValue.OfAnnotation.html|Models an annotation value of an element-value pair.
173|AnnotationValue.OfArray|interface in java.lang.classfile|java.base/java/lang/classfile/AnnotationValue.OfArray.html|Models an array value of an element-value pair.
174|AnnotationValue.OfBoolean|interface in java.lang.classfile|java.base/java/lang/classfile/AnnotationValue.OfBoolean.html|Models a boolean value of an element-value pair.
